item_idx,assoc_item_idx,rank,support_count,confidence,lift
5959,1089,1,3,0.1304,278.39
5959,7204,2,3,0.1304,164.5
5959,2608,3,8,0.3478,158.21
5959,2303,4,4,0.1739,112.22
7204,2376,1,3,0.1364,270.25
7204,5959,2,3,0.1364,164.5
7204,2608,3,7,0.3182,144.73
7204,2303,4,3,0.1364,87.99
5165,5538,1,5,0.1852,46.71
5538,4364,1,3,0.0273,75.67
5538,2509,2,3,0.0273,47.29
5538,5165,3,5,0.0455,46.71
5538,4562,4,8,0.0727,22.42
5538,5134,5,3,0.0273,20.45
5538,7001,6,3,0.0273,19.91
5538,4283,7,6,0.0545,4.96
1291,4290,1,3,0.0124,34.4
1291,3606,2,4,0.0165,25.48
1291,4744,3,3,0.0124,21.5
1291,619,4,5,0.0207,17.37
1291,4546,5,13,0.0537,14.2
1291,2949,6,3,0.0124,12.74
1291,5923,7,9,0.0372,11.86
1291,2251,8,10,0.0413,8.19
1291,1533,9,8,0.0331,6.28
1291,5258,10,3,0.0124,6.14
4546,5118,1,5,0.0476,146.8
4546,3001,2,16,0.1524,37.75
4546,836,3,12,0.1143,33.73
4546,5975,4,6,0.0571,18.65
4546,3477,5,3,0.0286,18.44
4546,5080,6,3,0.0286,18.02
4546,1533,7,8,0.0762,14.48
4546,1291,8,13,0.1238,14.2
4546,7051,9,3,0.0286,8.17
4546,4313,10,3,0.0286,7.34
2823,6839,1,3,0.4286,3963.71
6839,2823,1,3,1.0,3963.71
5164,3952,1,8,0.0402,22.76
5164,2214,2,13,0.0653,22.38
5164,6038,3,3,0.0151,20.91
5164,4536,4,35,0.1759,20.33
5164,3754,5,4,0.0201,19.23
5164,3412,6,5,0.0251,17.43
5164,4147,7,4,0.0201,17.43
5164,5496,8,4,0.0201,16.9
5164,625,9,3,0.0151,14.94
5164,3139,10,3,0.0151,14.42
5841,631,1,3,0.06,166.48
5841,618,2,3,0.06,50.45
5841,5091,3,4,0.08,40.36
5841,3124,4,4,0.08,25.81
5841,5164,5,5,0.1,13.94
1482,2482,1,5,0.8333,3303.1
1482,3222,2,4,0.6667,2055.26
2482,6938,1,3,0.4286,3963.71
2482,1482,2,5,0.7143,3303.1
2482,1426,3,3,0.4286,2972.79
2482,3222,4,3,0.4286,1321.24
6938,2482,1,3,1.0,3963.71
1590,719,1,9,0.2093,290.37
1590,4209,2,3,0.0698,276.54
1590,995,3,6,0.1395,193.58
1590,5129,4,5,0.1163,189.78
1590,1089,5,3,0.0698,148.91
1590,2608,6,10,0.2326,105.78
1590,3187,7,4,0.093,92.18
1590,2303,8,6,0.1395,90.04
2608,1089,1,6,0.0984,209.93
2608,2303,2,17,0.2787,179.83
2608,5959,3,8,0.1311,158.21
2608,3187,4,9,0.1475,146.2
2608,7204,5,7,0.1148,144.73
2608,3445,6,4,0.0656,139.95
2608,2376,7,4,0.0656,129.96
2608,5129,8,4,0.0656,107.02
2608,1590,9,10,0.1639,105.78
2608,995,10,4,0.0656,90.97
3187,5129,1,5,0.1786,291.45
3187,3445,2,3,0.1071,228.68
3187,1089,3,3,0.1071,228.68
3187,2608,4,9,0.3214,146.2
3187,1590,5,4,0.1429,92.18
3571,6710,1,3,0.5,1067.15
6710,3571,1,3,0.2308,1067.15
3668,5539,1,3,0.2143,220.21
5539,3345,1,4,0.1481,456.72
5539,5628,2,5,0.1852,244.67
5539,3668,3,3,0.1111,220.21
3222,4119,1,3,0.3333,3082.89
3222,2522,2,5,0.5556,2202.06
3222,1482,3,4,0.4444,2055.26
3222,2482,4,3,0.3333,1321.24
1426,2482,1,3,0.75,2972.79
5039,4801,1,3,0.0769,152.45
5039,4266,2,7,0.1795,134.6
5039,5774,3,4,0.1026,21.72
5774,4339,1,5,0.0382,62.29
5774,1625,2,21,0.1603,39.36
5774,3077,3,24,0.1832,38.8
5774,5879,4,3,0.0229,23.53
5774,3782,5,3,0.0229,22.69
5774,5039,6,4,0.0305,21.72
5774,4561,7,4,0.0305,21.72
5774,6588,8,4,0.0305,16.94
5774,3958,9,3,0.0229,16.72
5774,2184,10,3,0.0229,8.59
3124,2173,1,3,0.0349,120.99
3124,5841,2,4,0.0465,25.81
3124,5091,3,3,0.0349,17.6
3124,773,4,3,0.0349,17.6
3124,5164,5,5,0.0581,8.11
3124,5988,6,7,0.0814,7.76
3124,2063,7,3,0.0349,6.54
3124,4536,8,4,0.0465,5.38
3124,4609,9,5,0.0581,4.62
3124,2670,10,3,0.0349,2.16
1573,1124,1,13,0.1057,32.95
1573,2852,2,4,0.0325,26.54
1573,7077,3,3,0.0244,25.06
1573,7035,4,4,0.0325,22.01
1573,6061,5,3,0.0244,21.83
1573,5496,6,3,0.0244,20.51
1573,6893,7,3,0.0244,15.74
1573,6283,8,3,0.0244,15.04
1573,6431,9,3,0.0244,14.4
1573,5434,10,5,0.0407,13.43
2401,3413,1,7,0.0374,61.1
2401,6709,2,12,0.0642,21.2
2401,16,3,3,0.016,17.12
2401,5434,4,9,0.0481,15.9
2401,374,5,4,0.0214,13.49
2401,605,6,3,0.016,12.36
2401,107,7,6,0.0321,11.41
2401,1573,8,9,0.0481,10.86
2401,6185,9,3,0.016,10.12
2401,2776,10,3,0.016,9.89
2670,1563,1,12,0.0267,13.48
2670,5161,2,129,0.2873,12.53
2670,843,3,51,0.1136,10.61
2670,529,4,35,0.078,10.45
2670,113,5,13,0.029,5.66
2670,3964,6,15,0.0334,5.58
2670,913,7,6,0.0134,3.94
2670,6612,8,5,0.0111,3.86
2670,4816,9,13,0.029,3.35
2670,2826,10,3,0.0067,2.81
7152,3162,1,3,0.0176,34.97
7152,4738,2,3,0.0176,25.77
7152,5988,3,40,0.2353,22.43
7152,525,4,4,0.0235,21.06
7152,6326,5,4,0.0235,17.64
7152,2064,6,13,0.0765,14.43
7152,5793,7,4,0.0235,11.45
7152,5814,8,3,0.0176,11.39
7152,4344,9,4,0.0235,11.07
7152,4955,10,3,0.0176,9.79
1945,7142,1,4,0.16,221.97
1945,2653,2,5,0.2,63.06
7142,1945,1,4,0.2,221.97
7142,2693,2,5,0.25,198.19
4431,4570,1,10,0.1923,242.53
4431,2559,2,5,0.0962,127.04
4431,3683,3,3,0.0577,100.05
4431,6219,4,3,0.0577,76.23
6219,4431,1,3,0.1429,76.23
1379,6461,1,7,0.0886,57.17
1379,2858,2,3,0.038,15.27
1379,4939,3,4,0.0506,13.64
1379,3001,4,3,0.038,9.41
1379,5099,5,3,0.038,8.57
2858,2366,1,4,0.058,89.36
2858,4825,2,3,0.0435,70.96
2858,3294,3,4,0.058,53.62
2858,793,4,3,0.0435,43.08
2858,1921,5,3,0.0435,41.6
2858,2394,6,3,0.0435,38.91
2858,4086,7,5,0.0725,38.66
2858,2334,8,3,0.0435,37.7
2858,4850,9,3,0.0435,31.75
2858,5055,10,3,0.0435,30.93
2862,2490,1,5,0.0781,63.75
2862,1842,2,4,0.0625,59.8
2862,340,3,4,0.0625,57.8
2862,3847,4,4,0.0625,57.8
2862,2481,5,3,0.0469,43.35
2862,4398,6,3,0.0469,38.25
2862,2108,7,3,0.0469,37.16
2862,7147,8,3,0.0469,35.15
2862,3412,9,3,0.0469,32.51
2862,5948,10,3,0.0469,28.9
5965,134,1,6,0.0278,30.83
5965,2862,2,12,0.0556,24.09
5965,3520,3,3,0.0139,14.82
5965,601,4,7,0.0324,12.66
5965,5821,5,3,0.0139,12.43
5965,5068,6,3,0.0139,11.01
5965,3041,7,3,0.0139,11.01
5965,2063,8,12,0.0556,10.42
5965,6574,9,3,0.0139,9.63
5965,3136,10,4,0.0185,9.52
5988,1225,1,3,0.0103,31.78
5988,3632,2,6,0.0206,24.87
5988,2064,3,38,0.1306,24.65
5988,7152,4,40,0.1375,22.43
5988,4596,5,4,0.0137,15.26
5988,6070,6,4,0.0137,13.15
5988,2862,7,8,0.0275,11.92
5988,6859,8,3,0.0103,11.92
5988,6336,9,14,0.0481,9.67
5988,2761,10,3,0.0103,9.23
4609,601,1,14,0.0401,15.68
4609,2063,2,27,0.0774,14.5
4609,4816,3,43,0.1232,14.24
4609,3651,4,3,0.0086,9.94
4609,134,5,3,0.0086,9.54
4609,2862,6,7,0.0201,8.7
4609,3782,7,3,0.0086,8.52
4609,5793,8,5,0.0143,6.97
4609,1002,9,5,0.0143,5.93
4609,6152,10,7,0.0201,5.68
432,4074,1,4,0.5,3468.25
432,7006,2,3,0.375,2601.19
432,1029,3,3,0.375,2601.19
7006,432,1,3,0.75,2601.19
2010,4107,1,4,1.0,6936.5
4107,2010,1,4,1.0,6936.5
1533,3606,1,6,0.0411,63.35
1533,5975,2,14,0.0959,31.3
1533,4421,3,7,0.0479,22.55
1533,7000,4,7,0.0479,19.86
1533,5066,5,39,0.2671,15.44
1533,4546,6,8,0.0548,14.48
1533,635,7,3,0.0205,9.66
1533,1676,8,3,0.0205,8.14
1533,6044,9,4,0.0274,6.97
1533,3564,10,3,0.0205,6.48
4421,1533,1,7,0.1186,22.55
4421,5975,2,4,0.0678,22.13
4421,6044,3,3,0.0508,12.94
4421,5066,4,8,0.1356,7.84
5066,2175,1,9,0.0187,30.6
5066,2295,2,6,0.0125,26.68
5066,7145,3,17,0.0354,20.91
5066,3606,4,6,0.0125,19.27
5066,4603,5,3,0.0063,19.27
5066,1533,6,39,0.0813,15.44
5066,3919,7,3,0.0063,14.45
5066,5975,8,18,0.0375,12.24
5066,6044,9,23,0.0479,12.2
5066,7000,10,13,0.0271,11.22
4570,4431,1,10,0.4545,242.53
3711,5733,1,3,0.75,5202.38
5733,3711,1,3,0.75,5202.38
519,4562,1,4,0.1818,56.05
4562,519,1,4,0.0444,56.05
4562,2734,2,3,0.0333,46.24
4562,6960,3,3,0.0333,33.03
4562,5538,4,8,0.0889,22.42
4562,5161,5,3,0.0333,1.45
4536,4640,1,50,0.2083,33.41
4536,6038,2,4,0.0167,23.12
4536,5164,3,35,0.1458,20.33
4536,6068,4,6,0.025,19.82
4536,3952,5,8,0.0333,18.87
4536,6450,6,21,0.0875,18.25
4536,5635,7,5,0.0208,15.62
4536,915,8,6,0.025,13.87
4536,4790,9,10,0.0417,13.44
4536,6023,10,4,0.0167,13.21
4790,5627,1,4,0.0465,53.77
4790,6038,2,3,0.0349,48.39
4790,4510,3,10,0.1163,43.02
4790,2214,4,8,0.093,31.86
4790,3952,5,3,0.0349,19.75
4790,6014,6,3,0.0349,19.75
4790,2202,7,3,0.0349,19.36
4790,4536,8,10,0.1163,13.44
4790,5164,9,5,0.0581,8.11
1993,4019,1,5,0.2941,429.5
1993,759,2,3,0.1765,244.82
4019,1993,1,5,0.2632,429.5
4019,759,2,5,0.2632,365.08
1389,4850,1,7,0.0805,58.75
1389,6734,2,5,0.0575,33.93
1389,3202,3,4,0.046,31.89
1389,3365,4,3,0.0345,31.89
1389,6468,5,3,0.0345,31.89
1389,2938,6,3,0.0345,28.99
1389,5362,7,3,0.0345,28.14
1389,6041,8,4,0.046,26.03
1389,7147,9,3,0.0345,25.86
1389,5464,10,3,0.0345,25.86
744,4561,1,4,0.1053,74.89
4561,2986,1,6,0.1538,147.19
4561,6588,2,8,0.2051,113.83
4561,744,3,4,0.1026,74.89
4561,5774,4,4,0.1026,21.72
4561,3077,5,4,0.1026,21.72
4561,5988,6,3,0.0769,7.33
843,3392,1,18,0.0606,12.64
843,4871,2,8,0.0269,11.32
843,2670,3,51,0.1717,10.61
843,6278,4,8,0.0269,9.23
843,3331,5,3,0.0101,8.76
843,1645,6,9,0.0303,8.67
843,4657,7,3,0.0101,5.5
843,3861,8,7,0.0236,4.33
843,5962,9,6,0.0202,3.76
843,6348,10,5,0.0168,3.09
368,1038,1,3,0.1667,770.72
368,5474,2,4,0.2222,685.09
368,5773,3,5,0.2778,642.27
368,3180,4,4,0.2222,616.58
368,1399,5,3,0.1667,578.04
368,4434,6,4,0.2222,474.29
368,2940,7,4,0.2222,411.05
368,3513,8,5,0.2778,367.01
368,3664,9,3,0.1667,355.72
368,5315,10,4,0.2222,342.54
4434,368,1,4,0.3077,474.29
4434,7084,2,5,0.3846,426.86
4434,3513,3,4,0.3077,406.53
4434,5315,4,3,0.2308,355.72
4434,2349,5,5,0.3846,344.24
4434,6890,6,3,0.2308,337.0
4434,6866,7,3,0.2308,104.97
6866,2732,1,3,0.0492,454.85
6866,5917,2,5,0.082,206.75
6866,5506,3,4,0.0656,202.16
6866,6095,4,3,0.0492,194.94
6866,756,5,4,0.0656,181.94
6866,368,6,7,0.1148,176.89
6866,6858,7,3,0.0492,170.57
6866,7084,8,9,0.1475,163.75
6866,2349,9,11,0.1803,161.4
