item_idx,similar_item_idx,rank,similarity_score
0,5509,1,0.8568498496621006
0,4652,2,0.8568498496621006
0,2973,3,0.8568498496621006
0,4199,4,0.8568498496621006
0,1622,5,0.8568498496621006
0,1449,6,0.8568498496621006
0,2194,7,0.8502195744482259
0,5572,8,0.8203375984556643
0,4171,9,0.8203375984556643
0,3740,10,0.8203375984556643
0,2988,11,0.8203375984556643
0,6717,12,0.8203375984556643
0,4889,13,0.8203375984556643
0,4953,14,0.8203375984556643
0,1782,15,0.8203375984556643
0,3163,16,0.8203375984556643
0,1615,17,0.8203375984556643
0,4060,18,0.8203375984556643
0,4066,19,0.8203375984556643
0,1969,20,0.8203375984556643
1,6317,1,0.8814217261008879
1,3926,2,0.8814217261008879
1,6572,3,0.6844415608009059
1,4194,4,0.6794185325448521
1,3338,5,0.6794185325448521
1,6874,6,0.6744853077306115
1,5973,7,0.6744853077306115
1,3992,8,0.6527489924821059
1,3887,9,0.6264464763599532
1,2930,10,0.60131509588558
1,4383,11,0.5970997064460002
1,6319,12,0.5970997064460002
1,6629,13,0.5970997064460002
1,4401,14,0.5970997064460002
1,5889,15,0.5970997064460002
1,4139,16,0.5970997064460002
1,3790,17,0.5970997064460002
1,1809,18,0.5970997064460002
1,3614,19,0.5970997064460002
1,6828,20,0.5970997064460002
2,2850,1,0.915528738972127
2,863,2,0.873920745816186
2,3066,3,0.7758949632726224
2,1305,4,0.628612649476201
2,5783,5,0.590905730227681
2,2696,6,0.5816205982476964
2,6534,7,0.5720899329840304
2,1098,8,0.5698856862087821
2,5099,9,0.5185808782756514
2,4976,10,0.5153596485471913
2,7090,11,0.5065127507038019
2,6153,12,0.5031656709405778
2,4173,13,0.4896395345288038
2,6233,14,0.4681280008917614
2,666,15,0.4681280008917614
2,1312,16,0.4681280008917614
2,6236,17,0.45884439426684476
2,2374,18,0.4562272797138705
2,2293,19,0.4486864934364503
2,3754,20,0.4375789826359379
3,0,1,0.0
3,1,2,0.0
3,2,3,0.0
3,7221,4,0.0
3,4,5,0.0
3,5,6,0.0
3,6,7,0.0
3,7,8,0.0
3,8,9,0.0
3,9,10,0.0
3,10,11,0.0
3,11,12,0.0
3,12,13,0.0
3,13,14,0.0
3,14,15,0.0
3,15,16,0.0
3,16,17,0.0
3,17,18,0.0
3,18,19,0.0
3,19,20,0.0
4,4999,1,1.0
4,4548,2,0.9137246236637402
4,4120,3,0.8347423578754043
4,6139,4,0.8155877068340979
4,4088,5,0.8115586782084359
4,3677,6,0.7967899960955056
4,5743,7,0.7967039891673962
4,2173,8,0.7872351578443018
4,667,9,0.7865339053923204
4,1858,10,0.7816375862634153
4,2126,11,0.7728795642696195
4,3681,12,0.7683350652719997
4,6879,13,0.753922335298181
4,3388,14,0.7462477023552918
4,347,15,0.7162406228844712
4,1859,16,0.6861539656203566
4,3230,17,0.6840552201159374
4,2780,18,0.6751129371431628
4,1370,19,0.6656683609196459
4,6410,20,0.6656683609196459
5,0,1,0.0
5,1,2,0.0
5,2,3,0.0
5,3,4,0.0
5,4,5,0.0
5,7221,6,0.0
5,6,7,0.0
5,7,8,0.0
5,8,9,0.0
5,9,10,0.0
5,10,11,0.0
5,11,12,0.0
5,12,13,0.0
5,13,14,0.0
5,14,15,0.0
5,15,16,0.0
5,16,17,0.0
5,17,18,0.0
5,18,19,0.0
5,19,20,0.0
6,4048,1,0.6732449067651342
6,6403,2,0.5567613466476964
6,5543,3,0.5567613466476964
6,3820,4,0.5567613466476964
6,4462,5,0.5567613466476964
6,2819,6,0.5567613466476964
6,6410,7,0.5363973008621661
6,1370,8,0.5363973008621661
6,5239,9,0.5319986261825123
6,6923,10,0.48003160447287574
6,1300,11,0.48003160447287574
6,726,12,0.4756531799113174
6,6291,13,0.43829494381609224
6,3720,14,0.4373187572951468
6,1229,15,0.424876930036422
6,876,16,0.4177837870828239
6,6844,17,0.4177837870828239
6,333,18,0.4177837870828239
6,2039,19,0.4145653111561835
6,2252,20,0.4145653111561835
7,4597,1,0.7104088824737594
7,2601,2,0.6806092396412462
7,1437,3,0.6806092396412462
7,2001,4,0.6806092396412462
7,3090,5,0.6322976788551948
7,2691,6,0.6011397401414771
7,5914,7,0.5636331867868356
7,5736,8,0.5500480252546418
7,1183,9,0.5387006547189128
7,5539,10,0.5345805677866071
7,4567,11,0.5283826977856003
7,1998,12,0.5283826977856003
7,3664,13,0.5283826977856003
7,4428,14,0.5283826977856003
7,6894,15,0.5283826977856003
7,3533,16,0.5283826977856003
7,7059,17,0.5283826977856003
7,6380,18,0.5075261447411116
7,4300,19,0.5075261447411116
7,139,20,0.5075261447411116
8,7019,1,1.0
8,6783,2,1.0
8,6191,3,1.0
