item_idx,avg_rating,review_count
0,3.5,2
1,5.0,3
2,2.25,4
3,3.0,3
4,3.14,7
5,4.25,4
6,1.67,3
7,5.0,5
8,4.0,5
9,2.67,3
10,2.67,3
11,3.0,2
12,1.67,3
13,2.0,2
14,3.0,2
15,1.8,5
16,3.34,35
17,4.5,2
18,5.0,2
19,3.07,14
20,2.96,48
21,5.0,3
22,5.0,2
23,4.4,30
24,4.5,2
25,5.0,2
26,4.22,9
27,4.8,10
28,3.25,4
29,2.93,14
30,3.5,4
31,4.08,49
32,4.23,13
33,3.73,11
34,3.5,4
35,3.73,11
36,1.33,3
37,4.67,3
38,3.25,4
39,4.0,4
40,4.53,17
41,4.0,4
42,4.0,2
43,4.2,5
44,3.0,2
45,5.0,2
46,3.67,3
47,3.5,2
48,3.0,3
49,5.0,3
50,2.8,10
51,2.0,4
52,3.2,5
53,4.5,4
54,2.33,3
55,4.25,4
56,4.29,7
57,4.5,2
58,4.0,3
59,4.85,26
60,5.0,4
61,4.0,2
62,3.0,2
63,2.57,30
64,4.0,5
65,4.0,3
66,4.0,5
67,2.25,4
68,3.33,3
69,3.56,16
70,3.92,26
71,2.71,28
72,1.5,2
73,4.04,108
74,5.0,2
75,4.0,3
76,3.75,4
77,4.0,2
78,4.56,18
79,3.4,5
80,2.07,15
81,3.67,12
82,2.25,4
83,4.67,6
84,4.14,7
85,3.39,33
86,3.25,4
87,4.67,3
88,2.67,3
89,2.89,9
90,5.0,4
91,4.25,8
92,4.0,4
93,4.6,5
94,3.6,10
95,4.5,8
96,4.0,6
97,3.89,9
98,2.5,2
99,4.5,2
100,3.67,3
101,3.6,5
102,4.6,10
103,4.67,3
104,4.46,28
105,3.6,5
106,4.5,2
107,3.46,82
108,3.45,11
109,2.33,3
110,3.05,44
111,4.67,3
112,4.5,8
113,3.87,163
114,3.0,5
115,2.75,4
116,1.33,3
117,4.0,2
118,5.0,2
119,2.4,5
120,3.06,16
121,1.43,7
122,4.2,5
123,3.0,2
124,3.25,4
125,5.0,3
126,3.33,3
127,3.0,2
128,2.5,2
129,2.86,7
130,3.64,36
131,4.5,2
132,1.5,2
133,3.25,4
134,4.17,29
135,3.67,3
136,4.86,7
137,4.33,3
138,4.71,7
139,4.75,12
140,4.25,4
141,2.6,5
142,2.5,2
143,3.11,9
144,3.5,6
145,3.5,4
146,4.0,3
147,4.0,4
148,4.39,148
149,4.4,10
150,5.0,2
151,3.0,2
152,3.25,4
153,5.0,2
154,2.23,13
155,4.6,5
156,4.5,2
157,3.0,3
158,2.17,6
159,4.7,10
160,2.67,6
161,4.5,2
162,3.0,2
163,4.5,2
164,3.67,3
165,2.6,5
166,3.0,2
167,4.32,31
168,2.67,9
169,4.33,6
170,3.2,5
171,4.37,94
172,4.0,4
173,4.86,7
174,4.29,7
175,5.0,3
176,4.5,2
177,2.83,6
178,2.83,6
179,2.0,3
180,4.5,2
181,4.5,2
182,2.67,3
183,2.5,2
184,2.88,26
185,4.5,4
186,4.0,2
187,3.39,33
188,2.5,2
189,3.0,2
190,2.57,7
191,3.41,44
192,2.0,2
193,3.83,6
194,3.67,6
195,1.0,13
196,1.6,5
197,3.64,70
198,1.89,9
199,5.0,2
200,2.5,2
201,3.5,2
202,2.8,15
203,2.0,2
204,5.0,2
205,2.43,7
206,2.5,4
207,3.17,35
208,4.0,2
209,5.0,2
210,2.0,5
211,3.24,21
212,2.0,2
213,4.11,9
214,3.5,2
215,3.74,39
216,2.64,11
217,3.5,62
218,3.8,15
219,3.0,2
220,4.55,11
221,3.76,17
222,4.27,158
223,4.93,15
224,3.97,34
225,1.33,3
226,1.67,3
227,5.0,2
228,5.0,2
229,4.0,2
230,4.2,202
231,4.82,11
232,2.0,2
233,2.0,2
234,5.0,2
235,3.33,12
236,2.33,3
237,2.0,6
238,2.0,2
239,5.0,3
240,2.67,3
241,4.0,5
242,5.0,2
243,3.84,45
