item_idx,product_title,product_category
0,"Rosetta Stone V2: Latin, Level 1",Software
1,Workstation V6 Win CD  [OLD VERSION],Software
2,QuickBooks Online Simple Start 2013,Software
3,Cakewalk Pyro 5,Software
4,Acronis True Image 6.0,Software
5,Penny Dreadfuls Sweeney Todd,Software
6,"Clickart 400,000 Premier Image Pack",Software
7,Popcap Games Popcap Ultimate Collection [pc/mac],Software
8,HGTV Instant Makeover,Software
9,3ds max 5,Software
10,Custom 3D Home (JC),Software
11,"Mastering Excel Made Easy Training Tutorial v. 2010 through 97 –How to use Microsoft Excel video e Book Manual Guide. Even dummies can learn step by step from this total DVD for MS Excel, featuring Introductory through Advanced material from Professor Joe",Software
12,TaxCut 2005 for Business + Business State [Old Version],Software
13,Math Learning System 2007 (Win/Mac),Software
14,TurboCAD Deluxe 14,Software
15,Out of the Park Baseball 11 Deluxe,Software
16,Photo Expressions Platinum 5,Software
17,Adobe Photoshop Elements 11,Software
18,Filemaker Server 12,Software
19,Pinnacle Studio Plus Version 11 [OLD VERSION],Software
20,Adobe Premiere Elements 7 [OLD VERSION],Software
21,McAfee Mobile Security Suite 2014 [Online Code],Software
22,QuickBooks Premier Accountant Edition 2003,Software
23,WinZip 17 Standard,Software
24,Reader Rabbit Personalized Reading - Ages 4-6 (PC),Software
25,Learn German Now! 9.0,Software
26,Claymation Studio 3.0 Deluxe,Software
27,Tuneup Utilities (3-User),Software
28,Internet Security Suite Plus 2008,Software
29,Peachtree Pro Accounting 2010,Software
30,Chess Tactics ART 3.0,Software
31,Hoyle Card Games 2008 [Old Version],Software
32,Marine Aquarium 2.5 Virtual Undersea Paradise Win/Mac [Old Version],Software
33,Blue's Clues Preschool,Software
34,Adobe Audition CS6,Software
35,Ubuntu Linux 14.04 Special Edition DVD - Includes both 32-bit and 64-bit Versions - Long Term Support,Software
36,Adobe GoLive CS2 [Old Version],Software
37,JumpStart Advanced Preschool [OLD VERSION],Software
38,I Spy Spooky Mansion Deluxe With Book,Software
39,Roxio PhotoSuite 5 Platinum,Software
40,I SPY Treasure Hunt [Old Version],Software
41,Adventure Workshop: 1st-3rd Grade,Software
42,Sales and Marketing Pro,Software
43,Microsoft Windows Vista Anytime Upgrade Pack with SP1 [Home Premium to Ultimate] [Old Version],Software
44,Weekly Reader's Academic Fitness SAT/PSAT/ACT Bootcamp v.2,Software
45,Macromedia Studio 8 for Win/Mac [Old Version],Software
46,Adobe Captivate 2.0 [Old Version],Software
